Timestamp,Source_Node,Dest_Node,Link_Type,RSVP_TE_Latency_ms,OSPF_Cost_Metric,Jitter_ms,WAN_Path_Score,BGP_Peer_Flaps,IPSec_Tunnel_Status,Interface_Drop_Rate_Pct,Link_Failed
2026-07-01 16:25:26.225240,Hub-Core,Launch-Site-A,MPLS,15.0,20.0,,,1,1,0.13,0
2026-07-01 16:25:26.225240,Hub-Core,Tracking-North,MPLS,29.0,20.0,,,0,1,0.18,0
2026-07-01 16:25:26.225240,Hub-Core,Tracking-South,MPLS,33.0,10.0,,,1,1,0.11,0
2026-07-01 16:25:26.225240,Hub-Core,RnD-Center,MPLS,40.0,10.0,,,1,1,0.08,0
2026-07-01 16:25:26.225240,Hub-Core,HQ-Admin,MPLS,17.0,20.0,,,1,1,0.06,0
2026-07-01 16:25:26.225240,Hub-Core,Overseas-East,SDWAN,,,8.79,80.85,0,1,0.29,0
2026-07-01 16:25:26.225240,Hub-Core,Overseas-West,SDWAN,,,2.71,98.21,1,1,0.34,0
2026-07-01 16:25:26.225240,Hub-Core,Overseas-Island,SDWAN,,,5.4,93.38,1,1,0.08,0
2026-07-01 16:25:26.225240,Launch-Site-A,Tracking-North,MPLS,37.0,10.0,,,0,1,0.09,0
2026-07-01 16:25:26.225240,Tracking-South,RnD-Center,MPLS,28.0,10.0,,,1,1,0.23,0
2026-07-01 16:25:56.225240,Hub-Core,Launch-Site-A,MPLS,353.0,100.0,,,8,1,10.43,0
2026-07-01 16:25:56.225240,Hub-Core,Tracking-North,MPLS,338.0,80.0,,,9,0,7.86,0
2026-07-01 16:25:56.225240,Hub-Core,Tracking-South,MPLS,238.0,120.0,,,10,0,5.71,0
2026-07-01 16:25:56.225240,Hub-Core,RnD-Center,MPLS,420.0,80.0,,,5,0,10.58,0
2026-07-01 16:25:56.225240,Hub-Core,HQ-Admin,MPLS,198.0,120.0,,,10,0,12.66,0
2026-07-01 16:25:56.225240,Hub-Core,Overseas-East,SDWAN,,,69.43,32.21,3,0,13.19,0
2026-07-01 16:25:56.225240,Hub-Core,Overseas-West,SDWAN,,,147.09,14.94,7,1,17.35,0
2026-07-01 16:25:56.225240,Hub-Core,Overseas-Island,SDWAN,,,77.42,10.08,6,1,21.56,0
2026-07-01 16:25:56.225240,Launch-Site-A,Tracking-North,MPLS,324.0,80.0,,,4,1,13.39,0
2026-07-01 16:25:56.225240,Tracking-South,RnD-Center,MPLS,272.0,120.0,,,10,1,12.16,0
